time (s),pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9
-0.000017,-0.408603556,0,0,-0.358713819,0,-0.179872265,27.12673611,-0.096842771,0.11529119
-1.68E-05,-0.204301778,-0.252908106,0.166993136,-0.358713819,0,-0.179872265,27.36608967,-0.096842771,0.11529119
-0.0000165,0,-0.084302702,0.166993136,-0.179356909,-0.190096259,-0.179872265,27.28630515,-0.193685541,0.230582381
-1.63E-05,-0.204301778,-0.084302702,-0.166993136,0,-0.285144388,-0.089936132,27.28630515,-0.193685541,0.230582381
-0.000016,-0.408603556,-0.084302702,-0.166993136,-0.179356909,-0.095048129,-0.089936132,27.28630515,-0.096842771,0
-1.58E-05,-0.408603556,-0.168605404,0,0,0,-0.089936132,27.28630515,0,0.11529119
-0.0000155,-0.408603556,0,0,-0.179356909,0,-0.179872265,27.20652063,-0.193685541,0.230582381
-1.53E-05,0,-0.168605404,0,-0.358713819,-0.190096259,-0.179872265,27.20652063,-0.193685541,0
-0.000015,0,-0.168605404,0,0,-0.095048129,-0.179872265,27.28630515,-0.193685541,-0.11529119
-1.48E-05,-0.408603556,-0.084302702,-0.166993136,0,-0.095048129,-0.089936132,27.20652063,-0.290528312,0.11529119
-0.0000145,0,0,-0.333986272,-0.358713819,0,-0.269808397,27.28630515,-0.193685541,0.11529119
-1.43E-05,-0.408603556,-0.084302702,-0.166993136,-0.358713819,0,-0.179872265,27.20652063,-0.193685541,0.11529119
-0.000014,0,-0.084302702,-0.166993136,-0.179356909,-0.190096259,-0.269808397,27.28630515,-0.193685541,0.11529119
-1.38E-05,0,-0.084302702,-0.166993136,-0.179356909,-0.095048129,-0.179872265,27.12673611,-0.193685541,0.230582381
-0.0000135,-0.204301778,-0.168605404,-0.166993136,0,-0.190096259,-0.179872265,27.20652063,-0.193685541,0.11529119
-1.33E-05,-0.408603556,0,-0.166993136,-0.179356909,-0.190096259,-0.269808397,27.20652063,-0.096842771,-0.11529119
-0.000013,0,-0.084302702,-0.166993136,-0.358713819,-0.095048129,-0.179872265,27.20652063,-0.096842771,0
-1.28E-05,0,-0.168605404,-0.166993136,0,-0.190096259,-0.179872265,27.28630515,-0.096842771,0
-0.0000125,-0.204301778,-0.084302702,0,0,-0.190096259,-0.089936132,27.28630515,-0.193685541,0
-1.23E-05,-0.612905335,0,-0.166993136,-0.358713819,-0.095048129,-0.269808397,27.20652063,-0.096842771,0.11529119
-0.000012,-0.408603556,-0.084302702,0.166993136,0,-0.190096259,-0.089936132,27.28630515,-0.096842771,0
-1.18E-05,-0.204301778,0,-0.500979408,-0.358713819,-0.095048129,-0.179872265,27.28630515,-0.096842771,-0.11529119
-0.0000115,-0.204301778,-0.168605404,-0.166993136,-0.179356909,-0.285144388,-0.179872265,27.28630515,-0.096842771,0
-1.13E-05,-0.204301778,0,-0.166993136,0,-0.095048129,-0.269808397,27.20652063,0,0.230582381
-0.000011,-0.408603556,0,0,-0.538070728,-0.095048129,-0.269808397,27.36608967,-0.193685541,0
-1.08E-05,-0.408603556,0,-0.166993136,-0.179356909,-0.285144388,-0.269808397,27.20652063,0,0.11529119
-0.0000105,-0.408603556,-0.084302702,0,-0.179356909,-0.285144388,-0.269808397,27.20652063,-0.290528312,0.11529119
